Index,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
105,Linkin Park,One More Light,2017-05-19,0.593,0.2,8,-11.063,1,0.0311,0.904,0,0.0897,0.17,83.966,255067,4
106,Blind Melon,Mouthful Of Cavities,1995-01-01,0.338,0.529,4,-9.864,0,0.0492,0.165,0.0162,0.344,0.445,98.098,214800,4
107,Band of Horses,The Funeral,2006-03-21,0.316,0.769,0,-5.283,0,0.0422,0.0142,0,0.0928,0.127,122.507,321147,4
108,Air Supply,All Out of Love,1980-02-25,0.512,0.262,0,-16.875,1,0.0276,0.313,5.51e-06,0.456,0.357,108.381,243000,4
109,Coldplay,Fix You,2005-06-07,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,4
110,Jeff Buckley,Last Goodbye,1994,0.492,0.845,2,-5.686,1,0.0442,0.0297,0.00121,0.209,0.495,86.988,275493,4
111,Candlebox,Cover Me,1993-07-16,0.591,0.638,7,-6.958,1,0.029,0.00619,4.69e-06,0.113,0.348,131.113,285547,4
112,Death Cab for Cutie,I Will Follow You into the Dark,2005-08-29,0.517,0.206,5,-12.233,1,0.0421,0.924,0,0.118,0.489,80.401,189187,4
113,The Smiths,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",1984,0.241,0.468,2,-9.579,1,0.0272,0.534,0,0.161,0.451,91.581,112707,3
114,Billy Raffoul,Hell or High Water - From Days Gone,2019-02-13,0.638,0.349,11,-8.858,1,0.031,0.739,0.00705,0.122,0.194,130.233,214850,4
115,Alex Turner,It's hard to get around the wind,2011-03-15,0.436,0.244,0,-19.096,1,0.0339,0.87,0.000371,0.102,0.359,145.42,247013,4
116,Sinéad O'Connor,Nothing Compares 2 U,1990-07-01,0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,280040,4
117,Train,Drops of Jupiter (Tell Me),2001-03-27,0.468,0.64,0,-5.862,1,0.0275,0.154,0,0.154,0.499,79.297,259933,4
118,Coldplay,Trouble,2000-07-10,0.561,0.547,11,-7.496,0,0.0321,0.189,0.00157,0.17,0.19,139.755,273427,4
119,Ed Sheeran,I See Fire,2014-06-21,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031,299147,4
